issue_title,body
Support asset arguments after tag argument in release create command,"This pull request add support for optional asset `<FILE>` arguments after the `<TAG>` argument in `hub release create` command.

I think it is easier to use asset arguments than asset options because you can specify glob patterns like `*.tar.xz` if the shell support expanding glob patterns.

Also add a note that `-a` option can be specified multiple times in the long help of `hub release create command`."
rpm distribution,Would it be possible to support an rpm distribution of hub?
Add the local SSH key to GitHub,"It would be awesome if `hub` had an option to add a local SSH key to GitHub. Basically something like [ssh-keyreg](https://github.com/b4b4r07/ssh-keyreg), but without the need to install yet another command line tool if we already have `hub`.

It would be even better if after `hub clone ...` -> ""Permission denied (publickey)"" error `hub` could ask ""Would you like to add your local SSH public key to your GitHub account?"".

Generating new ssh keys would be fine too!

I'm aware that there's a (closed) issue https://github.com/github/hub/issues/611, but I'm struggling to understand the motivation behind closing it. The closing comment has a score of -10 and mentions that HTTPS is better, or something like that. But:

1. When I run `hub clone <reponame>` it uses SSH by default
2. As far as I know, ssh is still the simplest solution when you need a read/write access to the repo without retyping the password
3. The only pain in the ass is that you need to generate a ssh key when you setup a new computer, which is exactly what `hub` could automate
4. SSH is one of two primary protocols of git, and some users just might prefer it over HTTPS for any reason

I'm totally aware that it's an open source project (thank you for it!). Nobody says that it needs to be implemented right now, but I believe that leaving this feature request open would be a good opportunity for people to comment and leave their opinions."
fork --remote-name missing in bash completions,"Short on time, otherwise I would just PR this. I'll leave it here for now and circle back to it later if nobody else gets to it.

Simply put, all that needs to happen is the flag `--remote-name` needs to be added to `_git_fork`.

https://github.com/github/hub/blob/accfda9aa4009597da4362be31cb179b8392b84d/etc/hub.bash_completion.sh#L222-L236

Thanks in advance!"
Introduce hub milestone command,"I'd love to see a command to manage milestones of a GitHub repository.

Use case that I'm facing: I'm working on a multirepo architecture, all of which **should** use the same milestones: iteration x, iteration x+1, backlog, unknown. When creating a new repo I need to recreate these tags there.

It's doable with GH web UI, yes, but after discovering the ease of getting job done with `hub` command - it's no longer appealing. Especially that I have an automation where I can run a command in each project's repository.

I'd like to perform it with a single command, something like:

```
hub milestone create ""iteration x"" ""iteration x+1"" ""unknown"" ""backlog""
```

Eventually it could be passed as CSV like so:

```
hub milestone create ""iteration x,iteration x+1,unknown,backlog""
```

Naturally it would require to also include a `hub milestone` command that I believe should list open milestones by default.

Related issues (#2063) - though I believe it should be a separate command rather than adding it as a `hub issue` subcommand as milestones are related to both issues and prs.

In case proposal sounds reasonable I'd be happy to contribute."
Retrieve pull requests by date range,"It seems `hub pr` only allows to retrieve the last X (given by `-L X`) pull requests filtered by state.

It would be great (if the github API allows) if we could retrieve all PRs that were opened/closed/... within a given date range."
Filtered list of pull requests (by label),"I would like to be able to retrieve a list of pull requests filter by label.

This should be able to be combined with the filter for state."
hub pull-request fails with error and panic,"```
$ hub --version
git version 1.8.3.1
hub version 2.7.1
$ hub pull-request -h <my branch>
interface conversion: interface {} is yaml.MapSlice, not []interface {}

goroutine 1 [running]:
panic(0x7202e0, 0xc00013a330)
        /usr/lib/golang/src/runtime/panic.go:513 +0x1b9
github.com/github/hub/github.(*yamlConfigDecoder).Decode(0xa16b80, 0x7d8000, 0xc00000e110, 0xc00000cae0, 0x0, 0x1)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/config_decoder.go:40 +0x748
github.com/github/hub/github.(*configService).Load(0xc00009f598, 0xc0000150e0, 0x1b, 0xc00000cae0, 0x0, 0x0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/config_service.go:42 +0xb1
github.com/github/hub/github.CurrentConfig(0xc00002042a)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/config.go:305 +0x117
github.com/github/hub/github.newProject(0xc000020421, 0x8, 0xc00002042a, 0x9, 0xc00002040a, 0x16, 0xc000020400, 0x3, 0x0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/project.go:164 +0x32c
github.com/github/hub/github.NewProjectFromURL(0xc000094400, 0x1, 0x0, 0x0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/project.go:129 +0x12f
github.com/github/hub/github.(*Remote).Project(0xc00009f728, 0x0, 0x0, 0x7323e0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/remote.go:27 +0x33
github.com/github/hub/github.(*GitHubRepo).MainProject(0xc00000c660, 0x0, 0x0, 0x0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/github/localrepo.go:209 +0xa6
github.com/github/hub/commands.pullRequest(0x9f28c0, 0xc0000d44d0)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/commands/pull_request.go:163 +0xa2
github.com/github/hub/commands.(*Command).Call(0x9f28c0, 0xc0000d44d0, 0xc00007f501, 0xda0000c000086a00)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/commands/commands.go:45 +0x126
github.com/github/hub/commands.(*Runner).Call(0xc00004ae10, 0x9f28c0, 0xc0000d44d0, 0xc, 0xc000086dd8, 0xc000000300, 0xc00007fd40)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/commands/runner.go:115 +0x39
github.com/github/hub/commands.(*Runner).Execute(0xc00004ae10, 0x793df8, 0xc00009ff88, 0x4070c0, 0xc00001e0b8)
        /builddir/build/BUILD/hub-2.7.1/src/github.com/github/hub/commands/runner.go:100 +0x3a7
main.main()
        /builddir/build/BUILD/hub-2.7.1/main.go:16 +0x51

Would you like to open an issue? ([Y]es/[N]o/[A]lways/N[e]ver):
```

I have a ~/.config/hub file, that looks like this:

```
<my organization's github hostname>:
  oauth_token: <my token>
  user: <my username>
```

I get the same error with or without the '-h' in the pull-request call. I'm new to git so please be gentle.

Thanks.
"
Adding a subcommand to be able to comment issue,"The subcommand of form:
```
hub issue comment <issueNo> 
```

that will allow to add comments to the `issueNo`"
Add Commit Co-Author Support,This would add functionality to `commit` so that `--co-author NAME EMAIL` is a valid argument. It would simply add `Co-authored-by: $1 <$2>` to the commit body.
